PassengerId,Survived,Passenger Class,Sex,Siblings,Parent/Child,Fare,Age,Hometown,Boarded,Destination
1,0.0,3,male,1,0,7.25,22.0,"Bridgerule, Devon, England",Southampton,"Qu'Appelle Valley, Saskatchewan, Canada"
2,1.0,1,female,1,0,71.2833,35.0,"New York, New York, US",Cherbourg,"New York, New York, US"
3,1.0,3,female,0,0,7.925,26.0,"Jyväskylä, Finland",Southampton,New York City
4,1.0,1,female,1,0,53.1,35.0,"Scituate, Massachusetts, US",Southampton,"Scituate, Massachusetts, US"
5,0.0,3,male,0,0,8.05,35.0,"Birmingham, West Midlands, England",Southampton,New York City
6,0.0,3,male,0,0,8.4583,22.0,"Cork, Ireland",Queenstown,New York City
7,0.0,1,male,0,0,51.8625,54.0,"Dorchester, Massachusetts, US",Southampton,"Dorchester, Massachusetts, US"
8,0.0,3,male,3,1,21.075,2.0,"Bjuv, Skåne, Sweden",Southampton,"Chicago, Illinois, US"
9,1.0,3,female,0,2,11.1333,26.0,"St. Charles, Illinois, US",Southampton,"St. Charles, Illinois, US"
10,1.0,2,female,1,0,30.0708,14.0,"Zahlé, Lebanon, Ottoman Empire",Cherbourg,"Cleveland, Ohio, US"
11,1.0,3,female,1,1,16.7,4.0,"Motala, Östergötland, Sweden",Southampton,"San Francisco, US"
12,1.0,1,female,0,0,26.55,61.0,"Youngstown, Ohio, US",Southampton,"Youngstown, Ohio, US"
13,0.0,3,male,0,0,8.05,19.0,"St Austell, Cornwall, England",Southampton,New York City
14,0.0,3,male,1,5,31.275,39.0,"Kisa, Östergötland, Sweden",Southampton,"Winnipeg, Manitoba, Canada"
15,0.0,3,female,0,0,7.8542,14.0,"Salmunds, Gotland, Sweden",Southampton,"Los Angeles, US"
16,1.0,2,female,0,0,16.0,56.0,"Lucknow, British India, UK[note 3]",Southampton,"Rapid City, South Dakota, US"
17,0.0,3,male,4,1,29.125,2.0,"Athlone, Westmeath, Ireland",Queenstown,"Spokane, Washington, US"
18,1.0,2,male,0,0,13.0,23.0,"Harrow, London, England",Southampton,"Chicago, Illinois, US"
19,0.0,3,female,1,0,18.0,31.0,"Pittem, Belgium",Southampton,"Fremont, Ohio, US"
20,1.0,3,female,0,0,7.225,22.0,"Tebnine, Lebanon",Cherbourg,"Michigan City, Indiana, US"
21,0.0,2,male,0,0,26.0,35.0,"Liverpool, Merseyside, England, UK",Southampton,"Montreal, Quebec, Canada"
22,1.0,2,male,0,0,13.0,34.0,"London, England, UK",Southampton,"Toronto, Ontario, Canada"
23,1.0,3,female,0,0,8.0292,16.0,"Massbrook, Mayo, Ireland",Queenstown,"Chicago, Illinois, US"
24,1.0,1,male,0,0,35.5,28.0,"New Britain, Connecticut, US",Southampton,"New Britain, Connecticut, US"
25,0.0,3,female,3,1,21.075,8.0,"Bjuv, Skåne, Sweden",Southampton,"Chicago, Illinois, US"
26,1.0,3,female,1,5,31.3875,38.0,"Alseda, Småland, Sweden",Southampton,"Worcester, Massachusetts, US"
27,0.0,3,male,0,0,7.225,25.0,"Hadath, Lebanon",Cherbourg,New York City
28,0.0,1,male,3,2,263.0,19.0,"Winnipeg, Manitoba, Canada",Southampton,"Winnipeg, Manitoba, Canada"
29,1.0,3,female,0,0,7.8792,25.0,"Limerick, Limerick, Ireland",Queenstown,New York City
30,0.0,3,male,0,0,7.8958,23.0,"Unknown, Bulgaria",Southampton,"Chicago, Illinois, US"
31,0.0,1,male,0,0,27.7208,40.0,"Mexico City, Mexico",Cherbourg,"Mexico City, Mexico"
32,1.0,1,female,1,0,146.5208,45.0,"New York, New York, US",Cherbourg,"New York, New York, US"
33,1.0,3,female,0,0,7.75,19.0,"Killaloe, Clare, Ireland",Queenstown,"Washington, DC, US"
34,0.0,2,male,0,0,10.5,66.0,"Guernsey, Channel Islands",Southampton,"Edgewood, Rhode Island, US"
35,0.0,1,male,1,0,82.1708,28.0,"New York, New York, US",Cherbourg,"New York, New York, US"
36,0.0,1,male,1,0,52.0,42.0,"New York, New York, US",Southampton,"New York, New York, US"
37,1.0,3,male,0,0,7.2292,20.0,"Tripoli, Lebanon",Cherbourg,"Philadelphia, Pennsylvania, US"
38,0.0,3,male,0,0,8.05,21.0,"Penwithick, Cornwall, England",Southampton,New York City
39,0.0,3,female,2,0,18.0,18.0,"Zwevezele, Belgium",Southampton,"Fremont, Ohio, US"
40,1.0,3,female,1,0,11.2417,14.0,"El-Hakour, Lebanon",Cherbourg,"Jacksonville, Florida, US"
41,0.0,3,female,1,0,9.475,40.0,"Göteborg, Västergötland, Sweden",Southampton,"Akeley, Minnesota, US"
42,0.0,2,female,1,0,21.0,27.0,"Plymouth, Devon, England",Southampton,"Salt Lake City, Utah, US"
43,0.0,3,male,0,0,7.8958,,"Vetren, Bulgaria",Cherbourg,"Madison, Wisconsin, US"
44,1.0,2,female,1,2,41.5792,3.0,"Paris, France",Cherbourg,"Cap-Haïtien, Haiti"
45,1.0,3,female,0,0,7.8792,19.0,"Kilmacowen, Sligo, Ireland",Queenstown,New York City
46,0.0,3,male,0,0,8.05,29.0,"Pontardawe, West Glamorgan, Wales",Southampton,New York City
47,0.0,3,male,1,0,15.5,20.0,"Ballymahon, Longford, Ireland",Queenstown,New York City
48,1.0,3,female,0,0,7.75,24.0,"Ballydehob, Cork, Ireland",Queenstown,"Jersey City, New Jersey, US"
49,0.0,3,male,2,0,21.6792,16.0,"Hardîne, Lebanon",Cherbourg,"Wilkes-Barre, Pennsylvania, US"
50,0.0,3,female,1,0,17.8,18.0,"Altdorf, Uri, Switzerland",Southampton,"New Glarus, Wisconsin, US"
51,0.0,3,male,4,1,39.6875,7.0,"Ylihärmä, South Ostrobothnia, Finland",Southampton,"Coal Center, Pennsylvania, US"
52,0.0,3,male,0,0,7.8,21.0,"Newton Abbot, Devon, England",Southampton,"Buffalo, New York, US"
53,1.0,1,female,1,0,76.7292,49.0,"New York, New York, US",Cherbourg,"New York, New York, US"
54,1.0,2,female,1,0,26.0,29.0,"Manchester, England",Southampton,"Philadelphia, Pennsylvania, US"
55,0.0,1,male,0,1,61.9792,64.0,"Providence, Rhode Island, US",Southampton,"Providence, Rhode Island, US"
56,1.0,1,male,0,0,35.5,45.0,"London, England, UK",Southampton,"New York, New York, US"
57,1.0,2,female,0,0,10.5,21.0,"Guernsey, Channel Islands",Southampton,"Wilmington, Delaware, US"
58,0.0,3,male,0,0,7.2292,20.0,"Kafr Mishki, Lebanon",Cherbourg,"Ottawa, Ontario, Canada"
59,1.0,2,female,1,2,27.75,4.0,"Bournemouth, Dorset, England",Southampton,"Gainesville, Florida, US"
60,0.0,3,male,5,2,46.9,13.0,"Fulham, England",Southampton,"Niagara Falls, New York, US"
61,0.0,3,male,0,0,7.2292,22.0,"Kiğı, Turkey",Cherbourg,"Brantford, Ontario, Canada"
62,1.0,1,female,0,0,80.0,38.0,"New York, New York, US",Southampton,"New York, New York, US"
63,0.0,1,male,1,0,83.475,45.0,"New York, New York, US",Southampton,"New York, New York, US"
64,0.0,3,male,3,2,27.9,5.0,"Hällekis, Västergötland, Sweden",Southampton,"Iron Mountain, Michigan, US"
65,0.0,1,male,0,0,27.7208,54.0,"Cincinnati, Ohio, US",Cherbourg,"Gallipolis, Ohio, US"
66,1.0,3,male,1,1,15.2458,7.0,"Hardîne, Lebanon",Cherbourg,"Houtzdale, Pennsylvania, US"
67,1.0,2,female,0,0,10.5,29.0,"East Orange, New Jersey, US",Southampton,"East Orange, New Jersey, US"
68,0.0,3,male,0,0,8.1583,19.0,"Bristol, Avon, England",Southampton,"Cleveland, Ohio, US"
69,1.0,3,female,4,2,7.925,17.0,"Kullaa, Finland",Southampton,New York City
70,0.0,3,male,2,0,8.6625,26.0,"Zürich, Switzerland",Southampton,"Milwaukee, Wisconsin, US"
71,0.0,2,male,0,0,10.5,32.0,"St. Ives, Cornwall, England",Southampton,"Houghton, Michigan, US"
72,0.0,3,female,5,2,46.9,16.0,"Fulham, England",Southampton,"Niagara Falls, New York, US"
73,0.0,2,male,0,0,73.5,21.0,"Fritham, Hampshire, England",Southampton,"Manitoba, Canada"
74,0.0,3,male,1,0,14.4542,26.0,"Agios Sostis, Peloponnese, Greece",Cherbourg,New York City
75,1.0,3,male,0,0,56.4958,32.0,"Hong Kong, China",Southampton,New York City
76,0.0,3,male,0,0,7.65,25.0,"Bergen, Norway",Southampton,"Minneapolis, Minnesota, US"
77,0.0,3,male,0,0,7.8958,23.0,"Debnevo, Troyan, Bulgaria",Southampton,"Chicago, Illinois, US"
78,0.0,3,male,0,0,8.05,28.0,"London, England",Southampton,New York City
79,1.0,2,male,0,2,29.0,0.83,"Bangkok, Siam",Southampton,"Roseville, Illinois, US"
80,1.0,3,female,0,0,12.475,31.0,"New York City, New York, US",Southampton,New York City
81,0.0,3,male,0,0,9.0,22.0,"Ruiselede, West Flanders, Belgium",Southampton,"Stanton, Ohio, US"
82,1.0,3,male,0,0,9.5,29.0,"Haaltert, East Flanders, Belgium",Southampton,"Detroit, Michigan, US"
83,1.0,3,female,0,0,7.7875,31.0,"Lahardane, Mayo, Ireland",Queenstown,"Chicago, Illinois, US"
84,0.0,1,male,0,0,47.1,31.0,"Montevideo, Uruguay",Southampton,"Montevideo, Uruguay"
85,1.0,2,female,0,0,10.5,17.0,"Jersey, Channel Islands",Southampton,"Atlanta, Georgia, US"
86,1.0,3,female,3,0,15.85,33.0,"Kotka, Finland",Southampton,New York City
87,0.0,3,male,1,3,34.375,16.0,"Rotherfield, East Sussex, England",Southampton,"Essex County, New Jersey, US"
88,0.0,3,male,0,0,8.05,20.0,"London, England",Southampton,New York City
89,1.0,1,female,3,2,263.0,23.0,"Winnipeg, Manitoba, Canada",Southampton,"Winnipeg, Manitoba, Canada"
90,0.0,3,male,0,0,8.05,24.0,"Milan[83], Italy",Southampton,New York City
91,0.0,3,male,0,0,8.05,29.0,"London, England",Southampton,New York City
92,0.0,3,male,0,0,7.8542,20.0,"Kalfsnäs, Småland, Sweden",Southampton,"Chicago, Illinois, US"
93,0.0,1,male,1,0,61.175,46.0,"Amenia, North Dakota, US",Southampton,"Amenia, North Dakota, US"
94,0.0,3,male,1,2,20.575,25.0,"Bartley Farm, Hampshire, England",Southampton,"Wichita, Kansas, US"
95,0.0,3,male,0,0,7.25,59.0,"London, England",Southampton,"Merrill, Wisconsin, US"
96,0.0,3,male,0,0,8.05,22.0,"Heron's Ghyll, East Sussex, England",Southampton,"New York, US"
97,0.0,1,male,0,0,34.6542,71.0,"New York, New York, US",Cherbourg,"New York, New York, US"
98,1.0,1,male,0,1,63.3583,23.0,"New York, New York, US",Cherbourg,"New York, New York, US"
99,1.0,2,female,0,1,23.0,34.0,"Southampton, Hampshire, England, UK",Southampton,New York City
100,0.0,2,male,1,0,26.0,34.0,"Vitebsk, Russian Empire",Southampton,"Bronx, New York, US"
101,0.0,3,female,0,0,7.8958,28.0,"Vagovina, Croatia",Southampton,"Harrisburg, Pennsylvania, US"
102,0.0,3,male,0,0,7.8958,29.0,"Belish, Troyan, Bulgaria",Southampton,"Chicago, Illinois, US"
103,0.0,1,male,0,1,77.2875,21.0,"Brunswick, Maine, US",Southampton,"Brunswick, Maine, US"
104,0.0,3,male,0,0,8.6542,33.0,"Bäckebo, Småland, Sweden",Southampton,"Cheyenne, North Dakota, US"
105,0.0,3,male,2,0,7.925,37.0,"Ruotsinpyhtää, Finland",Southampton,New York City
106,0.0,3,male,0,0,7.8958,28.0,"Gumostnik, Lovec, Bulgaria",Southampton,"Chicago, Illinois, US"
107,1.0,3,female,0,0,7.65,21.0,"Ålesund, Møre og Romsdal, Norway",Southampton,"Proctor, Minnesota, US"
108,1.0,3,male,0,0,7.775,29.0,"Bergen, Norway",Southampton,New York City
109,0.0,3,male,0,0,7.8958,38.0,"Bosanska Krupa, Bosnia",Southampton,"Harrisburg, Pennsylvania, US"
110,1.0,3,female,1,0,24.15,28.0,"Askeaton, Limerick, Ireland",Queenstown,"Brooklyn, New York, US"
111,0.0,1,male,0,0,52.0,46.0,"Worcester, Massachusetts, US",Southampton,"Worcester, Massachusetts, US"
112,0.0,3,female,1,0,14.4542,16.0,"Unknown, Syria",Cherbourg,New York City
113,0.0,3,male,0,0,8.05,22.0,"Cambridge, Cambridgeshire, England",Southampton,New York City
114,0.0,3,female,1,0,9.825,20.0,"Paavola, Northern Ostrobothnia, Finland",Southampton,New York City
115,0.0,3,female,0,0,14.4583,17.0,"Beirut, Lebanon",Cherbourg,New York City
116,0.0,3,male,0,0,7.925,21.0,"Heinola, Finland",Southampton,New York City
117,0.0,3,male,0,0,7.75,61.0,"Charleville, Cork, Ireland",Queenstown,New York City
118,0.0,2,male,1,0,21.0,29.0,"Plymouth, Devon, England",Southampton,"Salt Lake City, Utah, US"
119,0.0,1,male,0,1,247.5208,24.0,"Montreal, Quebec, Canada",Cherbourg,"Montreal, Quebec, Canada"
120,0.0,3,female,4,2,31.275,2.0,"Kisa, Östergötland, Sweden",Southampton,"Winnipeg, Manitoba, Canada"
121,0.0,2,male,2,0,73.5,20.0,"Fritham, Hampshire, England",Southampton,"The Pas, Manitoba, Canada"
122,0.0,3,male,0,0,8.05,19.0,"Kingston upon Thames, London, England",Southampton,"Hoboken, New Jersey, US"
123,0.0,2,male,1,0,30.0708,28.0,"Zahlé, Lebanon, Ottoman Empire[note 7]",Cherbourg,"Cleveland, Ohio, US"
124,1.0,2,female,0,0,13.0,37.0,"Bude, Cornwall, England",Southampton,"Hartford, Connecticut, US"
125,0.0,1,male,0,1,77.2875,54.0,"Brunswick, Maine, US",Southampton,"Brunswick, Maine, US"
126,1.0,3,male,1,0,11.2417,12.0,"El-Hakour, Lebanon",Cherbourg,"Jacksonville, Florida, US"
127,0.0,3,male,0,0,7.75,20.0,"Craghbrien, Clare, Ireland",Queenstown,New York City
128,1.0,3,male,0,0,7.1417,24.0,"Trondheim, Norway",Southampton,"Brooklyn, New York, US"
129,1.0,3,female,1,1,22.3583,2.0,"Sar'al, Syria[81]",Cherbourg,"Detroit, Michigan, US"
130,0.0,3,male,0,0,6.975,45.0,"Effington Rut, South Dakota, US",Southampton,"Effington Rut, South Dakota, US"
131,0.0,3,male,0,0,7.8958,33.0,"Hrastelnica, Croatia",Cherbourg,New York City
132,0.0,3,male,0,0,7.05,20.0,"Funchal, Madeira Islands, Portugal",Southampton,New York City
133,0.0,3,female,1,0,14.5,47.0,"St Austell, Cornwall, England",Southampton,"Yonkers, New York, US"
134,1.0,2,female,1,0,26.0,37.0,"Bromsgrove, Worcestershire, England",Southampton,"Montreal, Quebec, Canada"
135,0.0,2,male,0,0,13.0,25.0,"Porthallow, Cornwall, England",Southampton,"Houghton, Michigan, US"
136,0.0,2,male,0,0,15.0458,23.0,"Paris, France",Cherbourg,"Montreal, Quebec, Canada"
137,1.0,1,female,0,2,26.2833,19.0,"New York, New York, US",Southampton,"New York, New York, US"
138,0.0,1,male,1,0,53.1,37.0,"Scituate, Massachusetts, US",Southampton,"Scituate, Massachusetts, US"
139,0.0,3,male,0,0,9.2167,16.0,"Hedesunda, Gävleborg, Sweden",Southampton,"Mitchell, South Dakota, US"
140,0.0,1,male,0,0,79.2,24.0,"Paris, France",Cherbourg,"New York, New York, US"
141,0.0,3,female,0,2,15.2458,40.0,"Unknown, Lebanon",Cherbourg,"Kent, British Columbia, Canada"
142,1.0,3,female,0,0,7.75,22.0,"Kisa, Östergötland, Sweden",Southampton,"Hackensack, New Jersey, US"
143,1.0,3,female,1,0,15.85,24.0,"Helsinki, Finland",Southampton,"Monessen, Pennsylvania, US"
144,0.0,3,male,0,0,6.75,19.0,"Glanmire, Cork, Ireland",Queenstown,"Charlestown, US"
145,0.0,2,male,0,0,11.5,17.0,"San Ambrosio, Córdoba, Argentina",Southampton,"Trenton, New Jersey, US"
146,0.0,2,male,1,1,36.75,19.0,"St. Ives, Cornwall, England",Southampton,"Houghton, Michigan, US"
147,1.0,3,male,0,0,7.7958,27.0,"Malmö, Skåne, Sweden",Southampton,"Chicago, Illinois, US"
148,0.0,3,female,2,2,34.375,7.0,"Rotherfield, East Sussex, England",Southampton,"Essex County, New Jersey, US"
149,0.0,2,male,0,2,26.0,32.0,"Nice, France",Southampton,New York City
150,0.0,2,male,0,0,13.0,42.0,"London, England",Southampton,"Jacksonville, Florida, US"
151,0.0,2,male,0,0,12.525,51.0,"Jacksonville, Florida, US",Southampton,"Jacksonville, Florida, US"
152,1.0,1,female,1,0,66.6,22.0,"Isleworth, London, England, UK",Southampton,"New York, New York, US"
153,0.0,3,male,0,0,8.05,48.0,"Bournemouth, Dorset, England",Southampton,"Washington, DC, US"
154,0.0,3,male,0,2,14.5,35.0,"London, England",Southampton,"North Wales, Pennsylvania, US"
155,0.0,3,male,0,0,7.3125,27.0,"Sunnhordland, Norway",Southampton,"Broderick, Canada"
156,0.0,1,male,0,1,61.3792,51.0,"Geneva, Switzerland",Cherbourg,"Radnor, Pennsylvania, US"
157,1.0,3,female,0,0,7.7333,17.0,"Esker, Longford, Ireland",Queenstown,New York City
158,0.0,3,male,0,0,8.05,30.0,"London, England",Southampton,New York City
159,0.0,3,male,0,0,8.6625,37.0,"Pisac, Croatia",Southampton,New York City
160,0.0,3,male,8,2,69.55,4.0,"Peterborough, Cambridgeshire, England",Southampton,"Jacksonville, Florida, US"
161,0.0,3,male,0,1,16.1,44.0,"Bournemouth, Dorset, England",Southampton,"Newark, New Jersey, US"
162,1.0,2,female,0,0,15.75,40.0,"Aberdeen, Aberdeenshire, Scotland",Southampton,"Portland, Oregon, US"
163,0.0,3,male,0,0,7.775,26.0,"Fridhemsberg, Halland, Sweden",Southampton,"Monee, Illinois, US"
164,0.0,3,male,0,0,8.6625,17.0,"Brezik, Croatia",Southampton,"Sault Ste. Marie, Michigan, US"
165,0.0,3,male,4,1,39.6875,1.0,"Ylihärmä, South Ostrobothnia, Finland",Southampton,"Coal Center, Pennsylvania, US"
166,1.0,3,male,0,2,20.525,9.0,"Strood, Kent, England",Southampton,"Detroit, Michigan, US"
167,1.0,1,female,0,1,55.0,48.0,"St Leonards-on-Sea, East Sussex, England, UK",Southampton,"New York, New York, US"
168,0.0,3,female,1,4,27.9,43.0,"Hällekis, Västergötland, Sweden",Southampton,"Iron Mountain, Michigan, US"
169,0.0,1,male,0,0,25.925,60.0,"New York, New York, US",Cherbourg,"New York, New York, US"
170,0.0,3,male,0,0,56.4958,24.0,"Hong Kong, China",Southampton,New York City
171,0.0,1,male,0,0,33.5,61.0,"Brooklyn, New York, US",Belfast,"Brooklyn, New York, US"
172,0.0,3,male,4,1,29.125,4.0,"Athlone, Westmeath, Ireland",Queenstown,"Spokane, Washington, US"
173,1.0,3,female,1,1,11.1333,1.0,"St. Charles, Illinois, US",Southampton,"St. Charles, Illinois, US"
174,0.0,3,male,0,0,7.925,21.0,"Mountain Home, Idaho, US",Southampton,"Mountain Home, Idaho, US"
175,0.0,1,male,0,0,30.6958,56.0,"Paris, France",Cherbourg,"Long Island, New York, US"
176,0.0,3,male,1,1,7.8542,18.0,"Grimshut, Småland, Sweden",Southampton,New York City
177,0.0,3,male,3,1,25.4667,5.0,"Liévin, Pas-de-Calais, France",Southampton,"Mystic, Iowa, US"
178,0.0,1,female,0,0,28.7125,50.0,"Chicago, Illinois, US",Cherbourg,"Chicago, Illinois, US"
179,0.0,2,male,0,0,13.0,30.0,"Auburn, New York, US",Southampton,"Auburn, New York, US"
180,0.0,3,male,0,0,0.0,36.0,"New York City, New York, US",Southampton,New York City
181,0.0,3,female,8,2,69.55,7.0,"Peterborough, Cambridgeshire, England",Southampton,"Jacksonville, Florida, US"
182,0.0,2,male,0,0,15.05,39.0,"Paris, France",Cherbourg,"New York, New York, US"
183,0.0,3,male,4,2,31.3875,9.0,"Alseda, Småland, Sweden",Southampton,"Worcester, Massachusetts, US"
184,1.0,2,male,2,1,39.0,1.0,"Guntur, Madras Province, British India",Southampton,"Benton Harbor, Michigan, US"
185,1.0,3,female,0,2,22.025,4.0,"Zürich, Switzerland",Southampton,"Milwaukee, Wisconsin, US"
186,0.0,1,male,0,0,50.0,38.0,"Seattle, Washington, US",Southampton,"Seattle, Washington, US"
187,1.0,3,female,1,0,15.5,26.0,"Pallasgreen, Limerick, Ireland",Queenstown,New York City
188,1.0,1,male,0,0,26.55,45.0,"New York, New York, US",Southampton,"New York, New York, US"
189,0.0,3,male,1,1,15.5,42.0,"Carrowskehine, Mayo, Ireland",Queenstown,"Chicago, Illinois, US"
190,0.0,3,male,0,0,7.8958,36.0,"Bratina, Croatia",Southampton,"Youngstown, Ohio, US"
191,1.0,2,female,0,0,13.0,21.0,"Brooklyn, New York, US",Southampton,"Brooklyn, New York, US"
192,0.0,2,male,0,0,13.0,19.0,"St. Ives, Cornwall, England",Southampton,"Houghton, Michigan, US"
193,1.0,3,female,1,0,7.8542,19.0,"Eskilstrup, Denmark",Southampton,"Portland, Oregon, US"
194,1.0,2,male,1,1,26.0,3.0,"Nice, France",Southampton,New York City
195,1.0,1,female,0,0,27.7208,44.0,"Denver, Colorado, US",Cherbourg,"Denver, Colorado, US"
196,1.0,1,female,0,0,146.5208,59.0,"New York, New York, US",Cherbourg,"New York, New York, US"
197,0.0,3,male,0,0,7.75,26.0,"Ballywilliam, Wexford, Ireland",Queenstown,"Chicago, Illinois, US"
198,0.0,3,male,0,1,8.4042,42.0,"Trondheim, Norway",Southampton,"Brooklyn, New York, US"
199,1.0,3,female,0,0,7.75,21.0,"Askeaton, Limerick, Ireland",Queenstown,New York City
200,0.0,2,female,0,0,13.0,24.0,"Paris, France",Southampton,"Montreal, Quebec, Canada"
201,0.0,3,male,0,0,9.5,28.0,"Westrozebeke, Belgium",Southampton,New York City
202,0.0,3,male,8,2,69.55,16.0,"Peterborough, Cambridgeshire, England",Southampton,"Jacksonville, Florida, US"
203,0.0,3,male,0,0,6.4958,34.0,"Munsala, Finland",Southampton,"Vancouver, British Columbia, Canada"
204,0.0,3,male,0,0,7.225,45.0,"Hardîne, Lebanon",Cherbourg,"Wilkes-Barre, Pennsylvania, US"
205,1.0,3,male,0,0,8.05,18.0,"London, England",Southampton,"Brooklyn, New York, US"
206,0.0,3,female,0,1,10.4625,2.0,"Indiana Harbor, Indiana, US",Southampton,"Indiana Harbor, Indiana, US"
207,0.0,3,male,1,0,15.85,32.0,"Kotka, Finland",Southampton,New York City
208,1.0,3,male,0,0,18.7875,26.0,"Fredericksburg, Virginia, US",Cherbourg,"Fredericksburg, Virginia, US"
209,1.0,3,female,0,0,7.75,16.0,"Corglass, Longford, Ireland",Queenstown,New York City
210,1.0,1,male,0,0,31.0,39.0,"Glen Ridge, New Jersey, US",Cherbourg,"Glen Ridge, New Jersey, US"
211,0.0,3,male,0,0,7.05,24.0,"Buenos Aires, Argentina",Southampton,New York City
212,1.0,2,female,0,0,21.0,35.0,"London, England, UK",Southampton,"Mamaronek, New York, US"
213,0.0,3,male,0,0,7.25,22.0,"Holsworthy, Devon, England",Southampton,"Saskatoon, Saskatchewan, Canada"
214,0.0,2,male,0,0,13.0,30.0,"Kølsen, Vorde Sogn, Denmark",Southampton,"San Francisco, California, US"
215,0.0,3,male,1,0,7.75,22.0,"Aughnacliffe, Longford, Ireland",Queenstown,"Jersey City, New Jersey, US"
216,1.0,1,female,1,0,113.275,31.0,"Lexington, Massachusetts, US",Cherbourg,"Lexington, Massachusetts, US"
217,1.0,3,female,0,0,7.925,27.0,"Saarijärvi, Finland",Southampton,New York City
218,0.0,2,male,1,0,27.0,40.0,"London, England",Southampton,"Montreal, Quebec, Canada"
219,1.0,1,female,0,0,76.2917,36.0,"Philadelphia, Pennsylvania, US",Cherbourg,"Philadelphia, Pennsylvania, US"
220,0.0,2,male,0,0,10.5,30.0,"London, England",Southampton,New York City
221,1.0,3,male,0,0,8.05,20.0,"London, England",Southampton,"Cleveland, Ohio, US"
222,0.0,2,male,0,0,13.0,29.0,"Lake Arthur, New Mexico, US",Southampton,"Lake Arthur, New Mexico, US"
